ra,dec,V,eV,I,eI
0 59 02.530,-32 43 26.100,19.794,0.008,17.696,0.004
0 59 02.890,-32 43 32.800,20.566,0.013,18.621,0.008
1 00 32.480,-32 43 35.200,19.000,0.005,17.219,0.003
0 59 44.090,-32 43 45.200,18.016,0.003,16.503,0.002
1 00 35.250,-32 43 51.200,20.921,0.018,18.797,0.009
1 00 46.950,-32 43 56.800,19.241,0.006,18.235,0.006
0 59 57.610,-32 43 57.500,19.516,0.007,18.182,0.006
1 00 24.550,-32 43 59.500,21.832,0.032,21.183,0.068
1 00 26.200,-32 43 59.500,19.765,0.008,19.132,0.012
0 59 29.410,-32 44 02.400,19.979,0.009,18.598,0.008
0 59 50.940,-32 44 03.000,21.389,0.023,20.777,0.049
1 00 41.800,-32 44 03.900,20.975,0.018,18.549,0.007
1 01 06.300,-32 44 06.200,21.963,0.040,19.660,0.017
1 01 22.780,-32 44 13.200,21.059,0.019,19.240,0.012
0 58 58.530,-32 44 13.800,18.216,0.003,17.376,0.004
1 00 51.950,-32 44 16.000,21.750,0.034,19.791,0.020
0 59 16.640,-32 44 17.200,17.957,0.003,17.234,0.003
0 59 23.410,-32 44 19.200,19.572,0.007,17.363,0.003
1 00 33.180,-32 44 20.500,19.636,0.008,17.529,0.004
1 00 04.450,-32 44 21.000,21.993,0.037,21.149,0.067
0 59 12.590,-32 44 21.200,21.682,0.032,19.186,0.012
1 00 56.070,-32 44 28.600,22.126,0.044,20.603,0.041
1 01 08.000,-32 44 30.000,21.899,0.036,20.357,0.032
1 01 20.180,-32 44 36.400,18.728,0.004,16.996,0.003
0 59 28.160,-32 44 38.700,20.973,0.018,18.844,0.009
1 00 15.590,-32 44 38.700,20.317,0.011,19.680,0.019
1 00 53.540,-32 44 40.000,22.390,0.054,21.120,0.065
1 01 06.690,-32 44 40.300,21.673,0.030,20.347,0.033
0 59 52.230,-32 44 40.800,20.740,0.015,19.554,0.017
1 00 30.470,-32 44 42.300,17.984,0.003,16.021,0.002
0 59 19.100,-32 44 42.800,21.496,0.025,20.849,0.053
0 59 12.990,-32 44 46.100,22.175,0.047,19.691,0.018
0 58 56.090,-32 44 46.200,21.734,0.029,21.123,0.064
0 59 35.080,-32 44 47.300,20.047,0.010,18.657,0.008
0 59 04.730,-32 44 49.800,19.337,0.006,18.511,0.008
1 00 47.590,-32 44 54.800,18.075,0.003,17.263,0.003
0 59 37.150,-32 44 55.500,22.179,0.047,19.663,0.017
0 59 32.400,-32 44 56.300,19.347,0.007,17.238,0.003
1 00 55.790,-32 44 59.500,22.319,0.052,20.664,0.043
0 58 58.080,-32 45 01.200,19.426,0.006,18.769,0.009
1 00 06.910,-32 45 02.500,20.305,0.012,18.545,0.008
0 59 47.130,-32 45 02.800,21.276,0.023,19.170,0.012
0 58 57.770,-32 45 05.600,18.729,0.004,17.505,0.004
1 00 10.790,-32 45 11.800,22.215,0.044,21.226,0.069
0 59 45.660,-32 45 13.200,21.775,0.033,19.806,0.020
0 59 54.760,-32 45 13.300,18.654,0.004,16.875,0.003
1 01 18.430,-32 45 13.300,19.485,0.007,18.551,0.008
0 59 04.690,-32 45 15.600,19.934,0.009,18.208,0.006
1 00 37.040,-32 45 21.400,22.079,0.041,20.309,0.030
1 00 54.040,-32 45 21.900,21.985,0.041,19.665,0.018
1 00 52.720,-32 45 23.000,21.727,0.033,19.744,0.019
0 59 58.900,-32 45 28.900,22.568,0.066,20.095,0.025
1 00 37.170,-32 45 33.000,21.349,0.023,19.683,0.018
1 00 49.070,-32 45 38.200,21.410,0.026,19.490,0.016
1 00 13.620,-32 45 38.500,19.810,0.009,17.735,0.004
1 00 08.380,-32 45 40.000,17.972,0.003,15.414,0.001
1 00 33.150,-32 45 40.100,20.553,0.013,19.953,0.024
0 59 27.650,-32 45 43.500,22.278,0.049,20.324,0.030
0 59 41.540,-32 45 44.500,18.467,0.004,18.092,0.006
0 58 51.550,-32 45 51.900,16.586,0.002,14.191,0.001
1 00 27.000,-32 45 53.900,17.308,0.002,16.649,0.002
1 00 19.750,-32 45 54.700,20.571,0.013,19.280,0.013
1 01 12.740,-32 46 01.200,21.918,0.034,21.419,0.084
1 00 01.190,-32 46 01.700,19.474,0.007,17.354,0.003
1 00 06.270,-32 46 04.100,20.083,0.010,19.110,0.012
1 01 17.660,-32 46 04.800,21.349,0.023,19.686,0.018
1 00 12.690,-32 46 09.600,21.420,0.023,21.030,0.060
0 59 06.440,-32 46 18.000,22.234,0.044,21.500,0.089
0 59 20.100,-32 46 19.100,17.132,0.002,16.408,0.002
0 59 37.400,-32 46 20.400,22.126,0.040,21.339,0.077
0 59 41.080,-32 46 22.400,18.088,0.003,17.593,0.004
0 59 38.920,-32 46 22.900,19.022,0.005,17.363,0.003
0 59 04.490,-32 46 23.600,21.864,0.033,21.029,0.059
0 59 28.530,-32 46 23.700,16.432,0.001,15.528,0.001
0 59 18.050,-32 46 25.800,22.139,0.044,20.336,0.032
0 58 57.280,-32 46 26.400,16.054,0.001,15.213,0.001
1 00 04.020,-32 46 26.500,19.738,0.008,18.398,0.007
0 59 48.710,-32 46 28.100,21.010,0.018,19.555,0.017
1 01 06.260,-32 46 33.500,17.499,0.002,15.674,0.001
0 59 10.910,-32 46 33.900,18.684,0.004,17.270,0.003
1 00 11.330,-32 46 43.500,22.806,0.075,21.092,0.059
1 01 01.840,-32 46 44.600,22.116,0.041,21.297,0.076
0 59 38.210,-32 46 45.000,22.635,0.064,21.118,0.061
0 58 51.100,-32 46 47.200,21.833,0.035,19.028,0.010
0 59 04.840,-32 46 48.800,17.739,0.003,16.523,0.002
0 59 06.880,-32 46 50.000,20.443,0.012,19.415,0.015
0 59 27.740,-32 46 53.800,17.781,0.003,16.901,0.003
0 59 09.250,-32 46 53.900,20.894,0.018,17.865,0.004
0 59 05.530,-32 46 55.800,22.362,0.050,21.115,0.062
1 00 39.990,-32 46 57.800,20.820,0.016,19.197,0.012
0 58 53.020,-32 47 03.800,21.893,0.034,20.525,0.036
0 59 13.690,-32 47 04.700,16.179,0.001,15.109,0.001
1 00 29.190,-32 47 06.100,20.782,0.015,19.972,0.024
1 01 11.690,-32 47 08.500,22.311,0.045,22.143,0.160
1 01 15.240,-32 47 12.000,19.623,0.008,17.516,0.004
1 01 14.680,-32 47 13.200,21.378,0.024,19.651,0.017
0 59 26.730,-32 47 13.400,21.060,0.018,20.480,0.039
0 59 49.370,-32 47 14.200,22.330,0.044,22.801,0.284
0 59 51.370,-32 47 16.800,21.484,0.027,19.184,0.012
0 58 58.150,-32 47 18.300,18.513,0.004,16.885,0.003
1 00 29.410,-32 47 21.800,22.028,0.041,19.768,0.019
0 58 51.070,-32 47 24.800,20.868,0.017,17.908,0.004
1 01 07.760,-32 47 25.800,22.263,0.047,21.105,0.063
0 59 53.600,-32 47 30.600,21.474,0.027,18.896,0.009
0 59 50.070,-32 47 32.200,18.904,0.005,17.312,0.003
1 01 10.940,-32 47 37.300,21.687,0.029,20.501,0.037
0 59 45.740,-32 47 49.600,20.382,0.012,18.712,0.009
0 59 58.240,-32 47 49.800,14.953,0.001,14.287,0.001
0 59 06.790,-32 47 50.700,18.537,0.004,16.241,0.002
0 59 05.150,-32 47 57.000,18.012,0.003,17.260,0.003
1 00 26.070,-32 47 57.500,16.360,0.001,15.689,0.001
0 59 58.650,-32 47 59.800,22.443,0.053,21.580,0.096
1 00 21.450,-32 48 00.500,22.181,0.042,21.345,0.076
0 59 38.830,-32 48 03.200,20.291,0.012,17.666,0.004
0 59 12.810,-32 48 06.600,20.898,0.017,18.944,0.010
1 00 07.540,-32 48 10.400,18.497,0.004,16.713,0.002
0 59 08.100,-32 48 14.300,22.011,0.036,21.365,0.080
1 01 19.010,-32 48 17.900,20.085,0.009,19.245,0.013
0 59 00.100,-32 48 21.700,15.978,0.001,14.960,0.001
1 01 11.070,-32 48 22.400,17.428,0.002,15.179,0.001
0 59 30.500,-32 48 23.000,22.497,0.053,21.808,0.114
1 00 32.470,-32 48 23.100,18.067,0.003,17.522,0.004
1 00 08.220,-32 48 29.500,21.659,0.031,18.917,0.009
0 59 39.270,-32 48 29.700,20.428,0.012,19.911,0.023
0 59 10.820,-32 48 32.400,19.061,0.005,17.070,0.003
0 59 07.120,-32 48 34.300,15.078,0.001,14.236,0.001
1 01 07.460,-32 48 36.700,22.529,0.063,20.035,0.023
0 59 14.600,-32 48 37.400,22.002,0.041,19.474,0.015
1 01 16.640,-32 48 38.600,21.130,0.019,20.313,0.032
1 01 06.160,-32 48 44.500,21.885,0.035,20.418,0.034
1 00 10.170,-32 48 44.700,19.616,0.007,18.456,0.007
1 00 06.890,-32 48 45.600,19.791,0.008,18.226,0.006
1 01 24.740,-32 48 49.100,18.067,0.003,17.301,0.003
1 01 13.030,-32 48 49.600,20.132,0.010,17.780,0.004
1 00 31.770,-32 48 55.400,20.618,0.014,19.177,0.012
1 01 00.430,-32 48 57.500,16.194,0.001,14.550,0.001
0 58 54.300,-32 48 59.000,20.691,0.015,18.285,0.006
1 00 34.500,-32 49 00.300,20.035,0.009,19.307,0.014
1 00 40.680,-32 49 04.700,16.336,0.001,15.693,0.001
0 59 51.370,-32 49 06.400,20.423,0.013,18.264,0.006
1 00 17.400,-32 49 08.200,19.772,0.008,17.881,0.005
1 00 31.010,-32 49 08.400,19.252,0.006,18.110,0.006
1 01 22.520,-32 49 08.600,21.874,0.033,20.888,0.050
1 00 40.520,-32 49 21.000,19.802,0.008,19.148,0.012
1 00 03.740,-32 49 23.400,19.942,0.009,19.252,0.013
0 59 05.570,-32 49 25.700,19.189,0.006,16.849,0.002
1 00 40.260,-32 49 28.000,22.898,0.079,21.084,0.057
0 59 37.700,-32 49 28.100,16.267,0.001,15.685,0.001
1 00 11.940,-32 49 29.400,21.439,0.024,20.467,0.035
1 00 03.980,-32 49 30.500,20.617,0.015,18.222,0.006
1 00 55.790,-32 49 31.500,19.230,0.006,17.060,0.003
0 59 49.280,-32 49 32.300,20.207,0.010,19.509,0.016
0 59 35.760,-32 49 34.500,19.374,0.007,17.105,0.003
0 59 59.320,-32 49 35.500,21.233,0.021,19.938,0.023
1 01 17.290,-32 49 36.200,20.061,0.009,18.837,0.009
1 00 22.240,-32 49 38.100,21.511,0.028,18.527,0.007
0 59 45.110,-32 49 40.800,19.363,0.006,18.829,0.010
0 59 58.730,-32 49 46.300,20.942,0.017,19.225,0.013
0 59 47.430,-32 49 50.800,19.277,0.006,18.728,0.009
1 01 03.550,-32 49 51.600,19.189,0.006,17.640,0.004
1 00 12.230,-32 49 54.400,22.233,0.050,19.357,0.013
1 01 03.090,-32 49 54.900,20.138,0.010,18.386,0.007
0 58 54.880,-32 49 56.900,19.258,0.005,19.433,0.016
1 00 33.380,-32 49 57.300,14.957,0.001,14.276,0.001
1 00 57.020,-32 49 59.100,21.570,0.028,19.815,0.020
1 00 23.410,-32 50 00.000,20.888,0.016,19.367,0.014
0 59 41.580,-32 50 00.900,19.525,0.007,17.980,0.005
1 01 08.560,-32 50 01.500,20.753,0.015,18.620,0.008
0 59 41.050,-32 50 04.200,18.488,0.004,17.605,0.004
1 00 10.350,-32 50 07.600,16.315,0.001,15.530,0.001
1 01 10.170,-32 50 08.000,21.386,0.024,19.883,0.021
1 00 05.850,-32 50 09.600,19.885,0.009,17.005,0.003
0 58 52.730,-32 50 11.700,21.397,0.023,20.146,0.026
1 00 18.340,-32 50 15.600,18.593,0.004,17.349,0.003
0 58 51.810,-32 50 15.700,18.922,0.005,17.928,0.005
0 59 13.160,-32 50 16.500,20.103,0.009,19.590,0.018
0 59 39.390,-32 50 25.200,16.059,0.001,14.999,0.001
0 58 54.070,-32 50 28.300,21.043,0.017,20.436,0.034
0 59 44.470,-32 50 33.000,22.208,0.047,20.025,0.023
0 59 37.560,-32 50 34.500,22.486,0.055,21.282,0.071
0 59 32.000,-32 50 36.600,21.967,0.039,19.304,0.012
1 00 57.210,-32 50 48.800,18.444,0.004,17.719,0.004
0 59 27.290,-32 50 51.000,21.637,0.028,20.176,0.027
1 00 57.930,-32 50 53.100,22.563,0.065,20.223,0.028
1 01 15.100,-32 50 55.600,22.860,0.073,21.983,0.131
1 00 33.670,-32 50 58.200,19.945,0.009,18.380,0.007
0 59 53.680,-32 51 01.600,19.239,0.006,17.926,0.005
0 59 53.320,-32 51 07.500,21.695,0.030,20.224,0.028
0 59 40.730,-32 51 07.700,20.474,0.013,18.158,0.006
1 00 56.910,-32 51 08.900,22.247,0.050,19.671,0.017
1 00 43.570,-32 51 11.900,21.033,0.019,18.402,0.006
0 59 59.590,-32 51 14.800,19.161,0.006,16.918,0.003
0 59 14.240,-32 51 15.600,21.510,0.027,19.317,0.013
1 00 46.370,-32 51 15.800,20.165,0.010,18.496,0.007
1 01 22.490,-32 51 17.000,21.463,0.024,20.056,0.024
1 01 05.870,-32 51 19.200,20.276,0.011,18.300,0.006
1 00 05.880,-32 51 19.900,18.447,0.004,17.809,0.005
0 59 18.630,-32 51 20.100,19.418,0.006,18.724,0.009
0 59 58.190,-32 51 25.000,22.504,0.054,21.871,0.122
1 00 21.930,-32 51 31.900,19.301,0.006,18.785,0.009
1 00 13.810,-32 51 36.500,21.477,0.026,19.014,0.010
0 59 41.240,-32 51 38.500,19.908,0.008,19.231,0.013
1 00 45.950,-32 51 43.000,18.904,0.005,18.289,0.006
1 00 33.970,-32 51 43.400,17.032,0.002,15.982,0.002
0 59 50.530,-32 51 45.700,19.693,0.007,19.079,0.012
1 00 26.500,-32 51 50.800,20.910,0.016,20.034,0.024
0 58 53.630,-32 51 51.100,19.946,0.008,19.306,0.013
1 01 27.160,-32 51 51.200,16.940,0.002,15.448,0.001
1 01 11.290,-32 51 52.800,21.389,0.024,19.557,0.016
0 59 41.610,-32 51 53.300,17.153,0.002,15.769,0.001
1 00 48.050,-32 51 53.800,20.456,0.012,19.626,0.018
0 59 12.420,-32 51 57.400,18.816,0.005,17.501,0.004
1 00 15.950,-32 51 57.400,18.977,0.005,18.345,0.007
0 59 05.540,-32 52 04.500,22.211,0.048,19.222,0.011
0 58 57.040,-32 52 04.600,19.278,0.006,17.590,0.004
1 00 28.090,-32 52 11.400,21.804,0.033,19.513,0.015
1 00 02.070,-32 52 11.600,22.606,0.060,21.470,0.084
0 59 48.140,-32 52 12.000,20.680,0.014,19.306,0.013
1 00 53.850,-32 52 15.600,19.288,0.006,18.947,0.011
1 01 24.400,-32 52 25.000,19.200,0.005,18.462,0.007
1 01 10.880,-32 52 25.600,20.927,0.016,20.139,0.027
1 00 34.870,-32 52 27.000,20.858,0.016,18.855,0.009
1 00 30.860,-32 52 29.100,16.557,0.002,15.859,0.002
0 59 31.260,-32 52 29.900,18.989,0.005,17.243,0.003
1 00 26.970,-32 52 31.400,19.999,0.010,17.471,0.004
1 00 07.240,-32 52 32.100,21.363,0.022,20.383,0.032
0 59 37.090,-32 52 33.900,16.765,0.002,16.091,0.002
0 58 59.150,-32 52 34.400,21.963,0.038,19.459,0.014
1 00 31.450,-32 52 36.100,21.877,0.035,19.546,0.015
1 00 08.460,-32 52 37.100,19.031,0.005,16.786,0.002
1 01 05.870,-32 52 37.600,20.148,0.010,19.359,0.014
0 58 49.890,-32 52 37.800,20.696,0.014,18.509,0.007
0 59 30.160,-32 52 39.300,19.459,0.006,18.416,0.007
1 00 11.860,-32 52 39.300,15.765,0.001,14.845,0.001
1 00 18.750,-32 52 52.500,15.820,0.001,14.685,0.001
0 58 57.170,-32 52 54.900,16.891,0.002,15.131,0.001
0 59 15.940,-32 52 59.700,21.616,0.027,20.871,0.051
1 01 03.980,-32 53 02.600,18.061,0.003,17.476,0.004
0 59 29.370,-32 53 02.800,22.165,0.040,21.295,0.071
0 59 10.890,-32 53 06.100,18.930,0.005,18.241,0.006
1 00 00.810,-32 53 09.100,17.465,0.002,16.819,0.003
1 00 57.960,-32 53 10.000,15.450,0.001,14.780,0.001
1 00 42.160,-32 53 10.300,17.686,0.003,15.122,0.001
1 00 02.740,-32 53 11.000,20.724,0.014,19.585,0.017
0 59 50.710,-32 53 11.600,20.974,0.017,19.858,0.021
1 00 01.560,-32 53 13.200,21.042,0.018,19.865,0.021
0 59 43.180,-32 53 14.800,21.919,0.035,20.317,0.030
1 01 05.420,-32 53 17.300,21.658,0.027,20.940,0.054
0 59 26.740,-32 53 19.800,19.983,0.009,19.111,0.011
1 00 27.710,-32 53 21.900,21.801,0.030,21.153,0.063
1 01 08.980,-32 53 22.900,19.077,0.005,17.489,0.004
0 59 14.670,-32 53 24.000,21.147,0.019,20.198,0.028
0 59 29.500,-32 53 25.500,19.783,0.008,17.387,0.003
1 01 05.650,-32 53 27.200,22.319,0.046,21.638,0.099
0 59 24.330,-32 53 28.200,19.825,0.008,18.472,0.007
0 59 30.560,-32 53 30.600,16.194,0.001,15.622,0.001
0 59 06.950,-32 53 32.500,21.469,0.025,19.825,0.020
0 59 50.940,-32 53 35.500,20.991,0.018,19.035,0.010
1 00 26.440,-32 53 37.400,21.161,0.019,20.369,0.032
0 59 47.410,-32 53 44.300,17.407,0.002,16.531,0.002
1 00 18.630,-32 53 44.600,22.051,0.036,21.364,0.076
0 59 21.010,-32 53 46.500,18.573,0.004,17.346,0.003
0 59 48.330,-32 53 47.800,21.013,0.018,19.313,0.013
0 59 37.410,-32 53 48.100,18.902,0.005,18.303,0.006
0 59 19.060,-32 53 48.200,21.288,0.023,18.687,0.008
0 59 15.850,-32 53 55.300,21.701,0.028,21.288,0.074
0 59 48.750,-32 54 02.800,20.395,0.012,18.908,0.010
0 58 50.620,-32 54 04.600,19.714,0.007,18.731,0.008
1 00 03.360,-32 54 14.000,20.184,0.010,19.046,0.011
1 00 30.860,-32 54 19.400,20.088,0.010,18.575,0.007
1 01 16.850,-32 54 21.900,20.839,0.015,19.420,0.014
0 59 14.890,-32 54 25.100,19.297,0.006,18.579,0.008
1 00 51.630,-32 54 31.400,22.094,0.042,20.136,0.026
0 58 54.740,-32 54 32.200,20.850,0.016,18.425,0.006
1 00 25.850,-32 54 33.600,22.234,0.043,21.184,0.063
1 00 23.070,-32 54 35.300,21.859,0.034,19.661,0.017
0 59 02.130,-32 54 41.600,18.374,0.003,17.723,0.004
1 00 23.110,-32 54 47.500,21.215,0.021,18.761,0.008
0 58 53.030,-32 54 47.900,18.162,0.003,17.333,0.003
1 00 31.730,-32 54 55.100,22.339,0.046,21.348,0.072
1 00 35.640,-32 54 57.100,17.824,0.003,17.078,0.003
0 59 29.540,-32 54 57.900,21.372,0.023,19.584,0.016
1 00 23.120,-32 55 08.700,21.021,0.017,20.350,0.031
1 03 18.550,-32 55 15.200,15.552,0.001,14.863,0.001
1 02 50.430,-32 55 16.900,22.327,0.054,19.905,0.015
1 00 05.480,-32 55 18.500,18.951,0.005,18.390,0.007
1 00 16.110,-32 55 19.400,22.372,0.048,21.154,0.061
1 00 14.230,-32 55 19.900,20.940,0.017,19.258,0.012
0 59 32.170,-32 55 20.400,20.634,0.013,20.066,0.025
1 03 29.370,-32 55 21.200,18.372,0.005,16.355,0.002
1 03 02.880,-32 55 21.400,20.042,0.009,18.314,0.005
1 03 44.030,-32 55 21.500,17.874,0.003,17.148,0.003
1 00 09.930,-32 55 23.100,21.553,0.025,20.555,0.037
1 02 40.620,-32 55 25.400,17.645,0.003,16.599,0.002
1 01 51.320,-32 55 28.800,20.188,0.011,17.359,0.003
0 59 55.700,-32 55 28.900,17.321,0.002,16.664,0.002
1 03 52.420,-32 55 29.100,18.151,0.004,16.139,0.002
0 56 26.850,-32 55 29.400,21.197,0.033,19.698,0.017
1 01 08.460,-32 55 30.500,19.200,0.006,17.081,0.002
0 56 25.710,-32 55 31.200,22.917,0.134,22.194,0.150
0 56 36.950,-32 55 31.600,23.005,0.153,21.268,0.064
0 57 50.710,-32 55 32.800,17.904,0.003,17.332,0.003
1 00 10.480,-32 55 32.900,15.196,0.001,14.665,0.001
1 00 12.830,-32 55 33.600,20.705,0.015,17.740,0.004
1 04 51.330,-32 55 33.700,22.578,0.145,20.949,0.071
1 00 54.560,-32 55 33.900,18.537,0.004,16.896,0.002
0 58 21.020,-32 55 34.400,17.396,0.002,15.892,0.001
1 04 07.540,-32 55 36.200,19.843,0.013,17.971,0.005
0 59 53.970,-32 55 37.200,20.292,0.011,18.172,0.006
0 59 48.810,-32 55 37.800,15.493,0.001,14.827,0.001
1 01 00.290,-32 55 38.200,16.747,0.002,15.842,0.001
0 58 34.110,-32 55 38.300,18.767,0.005,17.505,0.003
1 04 02.540,-32 55 39.000,18.288,0.004,16.603,0.002
0 58 06.580,-32 55 39.900,16.423,0.001,15.821,0.001
0 56 56.170,-32 55 40.400,19.978,0.009,19.399,0.011
1 04 37.830,-32 55 42.900,20.144,0.017,18.328,0.007
1 00 52.330,-32 55 44.300,19.107,0.005,18.467,0.006
0 56 21.610,-32 55 45.900,19.147,0.007,16.780,0.002
0 55 21.500,-32 55 46.800,22.057,0.076,20.214,0.027
0 59 41.570,-32 55 47.300,21.034,0.018,18.930,0.009
0 56 20.370,-32 55 47.600,19.049,0.007,17.272,0.003
1 03 00.890,-32 55 48.500,15.389,0.001,14.825,0.001
0 57 11.650,-32 55 49.400,18.017,0.003,17.223,0.003
1 02 39.950,-32 55 50.300,19.771,0.008,17.612,0.003
1 01 36.800,-32 55 51.300,19.809,0.008,18.271,0.005
1 03 50.120,-32 55 52.000,20.863,0.032,18.804,0.010
1 04 10.870,-32 55 52.300,20.299,0.019,19.082,0.013
0 59 49.280,-32 55 54.300,21.040,0.017,20.092,0.025
0 55 23.310,-32 55 54.500,20.520,0.022,18.092,0.005
0 58 53.680,-32 55 54.500,21.315,0.025,19.292,0.010
1 03 52.500,-32 55 54.500,23.054,0.196,21.964,0.154
0 58 43.340,-32 55 55.900,18.156,0.004,16.004,0.001
0 55 17.120,-32 55 56.100,20.733,0.022,20.230,0.030
0 56 22.860,-32 55 58.000,17.567,0.003,16.715,0.002
1 04 37.910,-32 55 58.100,22.822,0.160,21.326,0.087
1 00 29.050,-32 56 00.400,19.604,0.007,18.916,0.010
1 00 23.080,-32 56 02.100,21.018,0.018,18.982,0.010
1 03 57.010,-32 56 02.900,16.476,0.002,15.915,0.002
0 56 12.960,-32 56 03.000,21.895,0.055,21.501,0.085
1 01 02.110,-32 56 06.200,18.513,0.004,16.426,0.002
0 55 23.180,-32 56 06.500,22.829,0.150,20.804,0.045
1 01 06.540,-32 56 06.600,22.651,0.059,21.894,0.084
1 04 33.580,-32 56 07.500,22.808,0.173,20.050,0.027
0 57 15.730,-32 56 08.300,20.377,0.013,17.309,0.003
1 03 55.200,-32 56 10.000,21.219,0.045,18.647,0.009
1 04 56.350,-32 56 10.600,22.827,0.171,21.939,0.173
0 58 43.450,-32 56 10.700,22.063,0.039,21.297,0.051
1 00 28.410,-32 56 10.800,20.192,0.010,19.212,0.012
0 58 25.190,-32 56 14.900,22.221,0.051,19.621,0.012
0 56 15.650,-32 56 15.100,16.871,0.002,16.225,0.002
1 01 48.220,-32 56 15.300,23.208,0.097,22.443,0.133
0 55 51.740,-32 56 15.700,21.976,0.073,19.367,0.013
0 56 20.690,-32 56 16.100,17.802,0.003,17.093,0.003
0 58 56.590,-32 56 17.900,22.788,0.085,20.630,0.030
1 04 57.850,-32 56 18.400,22.171,0.107,19.903,0.028
0 54 59.060,-32 56 21.200,16.384,0.001,14.621,0.001
0 57 49.020,-32 56 24.000,20.122,0.011,17.713,0.004
0 57 29.910,-32 56 24.600,16.769,0.002,16.009,0.002
1 03 46.040,-32 56 24.700,20.983,0.033,20.181,0.034
0 55 50.690,-32 56 26.300,19.155,0.007,18.132,0.006
1 00 03.380,-32 56 27.000,22.490,0.055,20.872,0.047
1 04 50.070,-32 56 27.000,19.820,0.013,19.180,0.016
0 56 58.090,-32 56 27.100,17.647,0.003,16.927,0.002
1 03 41.550,-32 56 27.200,20.257,0.020,18.008,0.006
0 58 10.960,-32 56 27.400,22.417,0.060,19.667,0.013
1 00 16.280,-32 56 28.600,22.787,0.065,21.911,0.117
0 56 41.100,-32 56 29.500,22.311,0.081,21.392,0.075
1 01 52.180,-32 56 29.500,20.110,0.010,17.692,0.003
0 59 46.750,-32 56 29.600,18.528,0.004,16.497,0.002
1 00 22.760,-32 56 29.600,20.826,0.014,20.203,0.027
0 58 35.400,-32 56 31.900,16.762,0.002,15.977,0.001
1 01 38.320,-32 56 32.000,21.760,0.033,19.175,0.009
1 02 30.380,-32 56 32.100,18.567,0.004,16.446,0.002
1 00 44.780,-32 56 34.500,21.759,0.029,20.387,0.030
1 02 28.390,-32 56 37.400,20.897,0.017,18.672,0.006
1 03 35.520,-32 56 39.200,20.400,0.023,17.713,0.004
1 03 49.800,-32 56 39.400,22.268,0.098,21.677,0.125
0 58 59.640,-32 56 39.500,22.986,0.102,20.541,0.027
1 01 16.540,-32 56 39.900,21.204,0.021,18.910,0.007
0 58 36.750,-32 56 40.300,19.836,0.009,17.532,0.003
0 56 07.310,-32 56 41.300,21.730,0.051,20.632,0.039
1 03 39.290,-32 56 41.800,20.486,0.023,18.807,0.010
0 58 26.350,-32 56 43.300,23.011,0.092,21.325,0.051
1 02 33.690,-32 56 45.200,22.261,0.043,21.641,0.068
1 01 31.710,-32 56 45.300,18.511,0.004,17.883,0.004
1 01 45.880,-32 56 45.800,18.993,0.005,18.342,0.005
0 56 17.400,-32 56 46.500,23.676,0.266,22.370,0.172
0 55 32.450,-32 56 47.600,19.009,0.007,16.783,0.002
0 56 32.460,-32 56 48.100,20.320,0.016,19.403,0.014
0 57 48.280,-32 56 48.100,17.165,0.002,15.546,0.001
1 00 31.490,-32 56 48.400,18.457,0.004,17.425,0.004
1 02 37.030,-32 56 48.700,21.435,0.025,18.758,0.006
0 55 25.820,-32 56 50.300,20.981,0.033,18.105,0.005
0 59 09.630,-32 56 50.300,21.096,0.022,18.344,0.005
0 58 35.530,-32 56 50.700,22.912,0.080,22.048,0.099
0 55 52.860,-32 56 51.100,22.312,0.094,20.199,0.026
0 58 40.410,-32 56 51.400,19.892,0.009,19.134,0.009
1 02 27.350,-32 56 51.400,21.022,0.018,18.747,0.007
1 00 07.490,-32 56 53.800,21.551,0.025,20.547,0.036
1 00 57.330,-32 56 54.200,19.877,0.008,17.987,0.004
1 04 03.910,-32 56 54.300,17.076,0.002,15.315,0.001
1 01 11.700,-32 56 56.800,19.608,0.007,19.037,0.009
1 03 29.340,-32 56 57.500,21.584,0.060,19.230,0.014
1 03 56.390,-32 57 00.400,19.263,0.009,17.058,0.003
0 57 31.970,-32 57 01.400,20.068,0.010,18.184,0.005
1 02 26.050,-32 57 01.400,17.153,0.002,16.334,0.002
0 58 07.510,-32 57 01.900,21.642,0.031,19.447,0.011
1 04 15.550,-32 57 02.100,20.864,0.028,20.452,0.044
0 58 04.520,-32 57 02.600,21.656,0.029,21.173,0.048
1 00 32.230,-32 57 02.600,22.063,0.036,21.274,0.067
0 58 58.190,-32 57 02.800,20.234,0.012,18.331,0.005
1 04 14.190,-32 57 03.000,21.211,0.041,19.814,0.024
0 58 53.960,-32 57 06.600,21.841,0.036,21.067,0.047
1 03 02.530,-32 57 07.300,19.693,0.008,18.350,0.005
0 56 59.060,-32 57 07.500,19.490,0.007,17.414,0.003
0 59 59.490,-32 57 07.700,22.747,0.074,19.552,0.014
1 00 13.780,-32 57 07.700,20.918,0.016,19.417,0.014
1 01 57.640,-32 57 09.700,18.610,0.004,17.948,0.004
1 00 04.950,-32 57 09.800,22.270,0.047,20.207,0.026
1 00 23.240,-32 57 10.800,22.086,0.037,21.277,0.068
1 04 35.170,-32 57 12.700,19.228,0.008,18.039,0.006
1 00 08.270,-32 57 13.000,17.000,0.002,16.239,0.002
1 00 14.850,-32 57 13.500,18.267,0.004,16.338,0.002
